Year,State,County,County ANSI,Value
2014,INDIANA,PUTNAM,133,198.6
2014,INDIANA,TIPPECANOE,157,206.6
2014,INDIANA,VERMILLION,165,213.6
2014,INDIANA,WARREN,171,209.5
2013,INDIANA,BARTHOLOMEW,5,176.6
2013,INDIANA,BOONE,11,189.8
2013,INDIANA,CLINTON,23,191.5
2013,INDIANA,DECATUR,31,183.2
2013,INDIANA,GRANT,53,181.1
2013,INDIANA,HAMILTON,57,173.6
2013,INDIANA,HANCOCK,59,173.7
2013,INDIANA,HENDRICKS,63,183.6
2013,INDIANA,JOHNSON,81,172.9
2013,INDIANA,MADISON,95,181.1
2013,INDIANA,MORGAN,109,179.8
2013,INDIANA,OTHER (COMBINED) COUNTIES,,189.2
2013,INDIANA,RUSH,139,193.6
2013,INDIANA,SHELBY,145,178.8
2013,INDIANA,TIPTON,159,191.2
2013,INDIANA,BLACKFORD,9,172.5
2013,INDIANA,DELAWARE,35,174.3
2013,INDIANA,FAYETTE,41,172.2
2013,INDIANA,OTHER (COMBINED) COUNTIES,,179.1
2013,INDIANA,RANDOLPH,135,171.3
2013,INDIANA,UNION,161,211.5
2013,INDIANA,WAYNE,177,177.3
2013,INDIANA,CARROLL,15,197.1
2013,INDIANA,CASS,17,192.3
2013,INDIANA,ELKHART,39,180.4
2013,INDIANA,FULTON,49,179
2013,INDIANA,KOSCIUSKO,85,176.7
2013,INDIANA,MARSHALL,99,171
2013,INDIANA,MIAMI,103,174.7
2013,INDIANA,ST. JOSEPH,141,157.9
2013,INDIANA,WABASH,169,178.8
2013,INDIANA,ADAMS,1,176.7
2013,INDIANA,ALLEN,3,180.7
2013,INDIANA,DE KALB,33,167.7
2013,INDIANA,HUNTINGTON,69,191.7
2013,INDIANA,LAGRANGE,87,154.4
2013,INDIANA,NOBLE,113,164.1
2013,INDIANA,OTHER (COMBINED) COUNTIES,,179.9
2013,INDIANA,WHITLEY,183,181
2013,INDIANA,BENTON,7,181.1
